iter	Passed	Remaining
688	2592	1170
689	2595	1166
690	2600	1162
691	2603	1158
692	2606	1154
693	2610	1150
694	2613	1147
695	2617	1143
696	2620	1139
697	2623	1135
698	2626	1131
699	2630	1127
700	2633	1123
701	2636	1119
702	2639	1115
703	2643	1111
704	2646	1107
705	2649	1103
706	2652	1099
707	2656	1095
708	2659	1091
709	2662	1087
710	2666	1083
711	2669	1079
712	2672	1075
713	2675	1071
714	2678	1067
715	2682	1063
716	2685	1059
717	2688	1055
718	2691	1052
719	2695	1048
720	2698	1044
721	2701	1040
722	2704	1036
723	2708	1032
724	2711	1028
725	2714	1024
726	2717	1020
727	2721	1016
728	2724	1012
729	2728	1009
730	2731	1005
731	2734	1001
732	2738	997
733	2741	993
734	2744	989
735	2747	985
736	2750	981
737	2755	978
738	2759	974
739	2763	971
740	2767	967
741	2770	963
742	2773	959
743	2777	955
744	2780	951
745	2783	947
746	2786	943
747	2789	939
748	2793	936
749	2796	932
750	2800	928
751	2803	924
752	2806	920
753	2809	916
754	2812	912
755	2816	908
756	2819	905
757	2822	901
758	2826	897
759	2829	893
760	2832	889
761	2836	885
762	2839	881
763	2842	878
764	2846	874
765	2849	870
766	2852	866
767	2855	862
768	2859	858
769	2862	855
770	2865	851
771	2868	847
772	2871	843
773	2875	839
774	2878	835
775	2881	831
776	2885	828
777	2888	824
778	2892	820
779	2896	816
780	2899	812
781	2902	809
782	2905	805
783	2909	801
784	2912	797
785	2915	793
786	2918	789
787	2921	786
788	2925	782
789	2928	778
790	2931	774
791	2934	770
792	2937	766
793	2941	763
794	2944	759
795	2947	755
796	2950	751
797	2954	747
798	2957	743
799	2960	740
800	2963	736
801	2967	732
802	2970	728
803	2974	725
804	2977	721
805	2980	717
806	2984	713
807	2987	709
808	2990	706
809	2993	702
810	2997	698
811	3001	694
812	3004	691
813	3007	687
814	3011	683
815	3014	679
816	3017	675
817	3021	672
818	3024	668
819	3027	664
820	3031	660
821	3034	657
822	3037	653
823	3041	649
824	3044	645
825	3047	641
826	3050	638
827	3054	634
828	3057	630
829	3060	626
830	3064	623
831	3067	619
832	3070	615
833	3073	611
834	3076	608
835	3080	604
836	3083	600
837	3087	596
838	3090	593
839	3094	589
840	3097	585
841	3101	582
842	3105	578
843	3109	574
844	3113	571
845	3116	567
846	3120	563
847	3124	559
848	3127	556
849	3131	552
850	3134	548
851	3138	545
852	3141	541
853	3144	537
854	3149	534
855	3153	530
856	3156	526
857	3160	523
858	3163	519
859	3166	515
860	3169	511
861	3173	508
862	3176	504
863	3179	500
864	3182	496
865	3185	492
866	3189	489
867	3192	485
868	3195	481
869	3199	478
870	3202	474
871	3205	470
872	3208	466
873	3212	463
874	3215	459
875	3218	455
876	3222	451
877	3225	448
878	3228	444
879	3232	440
880	3235	437
881	3238	433
882	3242	429
883	3245	425
884	3248	422
885	3251	418
886	3255	414
887	3258	410
888	3261	407
889	3264	403
890	3268	399
891	3271	396
892	3274	392
893	3277	388
894	3281	384
895	3284	381
896	3287	377
897	3290	373
898	3294	370
899	3297	366
900	3300	362
901	3303	358
902	3307	355
903	3310	351
904	3313	347
905	3317	344
906	3320	340
907	3323	336
908	3326	333
909	3330	329
910	3333	325
911	3337	322
912	3340	318
913	3343	314
914	3346	310
915	3350	307
916	3353	303
917	3356	299
918	3360	296
919	3363	292
920	3366	288
921	3369	285
922	3373	281
923	3376	277
924	3379	274
925	3382	270
926	3386	266
927	3389	262
928	3392	259
929	3395	255
930	3399	251
931	3402	248
932	3405	244
933	3409	240
934	3412	237
935	3415	233
936	3418	229
937	3421	226
938	3425	222
939	3428	218
940	3431	215
941	3435	211
942	3438	207
943	3441	204
944	3444	200
945	3448	196
946	3451	193
947	3454	189
948	3458	185
949	3461	182
950	3464	178
951	3467	174
952	3470	171
953	3474	167
954	3477	163
955	3480	160
956	3483	156
957	3487	152
958	3490	149
959	3493	145
960	3496	141
961	3500	138
962	3503	134
963	3506	130
964	3509	127
965	3514	123
966	3517	120
967	3521	116
968	3524	112
969	3528	109
970	3531	105
971	3534	101
972	3537	98
973	3542	94
974	3545	90
975	3548	87
976	3552	83
977	3555	79
978	3558	76
979	3562	72
980	3565	69
981	3569	65
982	3572	61
983	3575	58
984	3578	54
985	3582	50
986	3585	47
987	3588	43
988	3592	39
989	3595	36
990	3598	32
991	3602	29
992	3605	25
993	3608	21
994	3611	18
995	3615	14
996	3618	10
997	3621	7
998	3625	3
999	3628	0
